Area,Feature,OUR_APP (main),Qoder_Expert_Bridge_Doctor_Complete,Decision (Kept / Improved / New / Merged),Justification / Notes,Owner/Module
Repository shape,Single-node app (Vite + Express + TS) with integrated generator,"Yes: `client/`, `server/`, `bridge-excel-generator/`, `Drawing_Module/`",No (declares monorepo),Kept,"Current repo is cohesive and already integrated end-to-end.",repo root
Repository shape,Monorepo workspaces (apps/packages/services),"No",Declared in `Qoder_.../package.json` (pnpm workspaces),New (optional later),"Potential future scalability; BUT this snapshot does not include workspace source code (folders are empty).",Qoder root
UI,Landing page,"Yes: `/` (`client/src/pages/Landing.tsx`)",Unknown (workspace empty),Kept,"Already present.",client
UI,Design page (input + run design),"Yes: `/design`",Unknown,Kept,"Core workflow.",client + server
UI,Drawing page (view/download drawings),"Yes: `/drawing`",Unknown,Kept,"Core workflow.",client + server
UI,Estimate page,"Yes: `/estimate`",Unknown,Kept,"Core workflow.",client + server
UI,Pier stability page,"Yes: `/pier-stability`",Unknown,Kept,"Core workflow.",client + server
UI,Projects page (saved designs),"Yes: `/projects` (browser storage hydration present)",Unknown,Kept,"Already present; currently browser storage based.",client
UI,Dashboard page (charts/verdicts),"Yes: `/dashboard`",Unknown,Kept,"Already present; can refine visuals later if Qoder UI is available.",client
UI,Narrative report page (heavy/lazy),"Yes: `/report` lazy-loaded",Unknown,Kept,"Already present.",client/report-engine
UI,Standalone hydraulics page,"Yes: `/hydraulics` lazy-loaded",Unknown,Kept,"Already present.",client
UI,Standalone slab design page,"Yes: `/slab-design` lazy-loaded",Unknown,Kept,"Already present.",client
UI,Merge integration page (hybrid controls),"Yes: `/merge`",Unknown,Kept,"Already present.",client
API,Design schema endpoint,"Yes: `GET /api/design/schema`",Unknown,Kept,"Used by tools/forms.",server/api-routes
API,Templates endpoint,"Yes: `GET /api/design/templates`",Unknown,Kept,"Quick-start inputs.",server/api-routes
API,Demo seed endpoint,"Yes: `GET /api/design/demo-seed`",Unknown,Kept,"First-run seed for UI.",server/api-routes
API,Calculate design + download Excel,"Yes: `POST /api/design/calculate` returns .xlsx",Unknown,Kept,"Primary deliverable.",server + bridge-excel-generator
API,Compute JSON results (no file),"Yes: `POST /api/design/results`",Unknown,Kept,"Used by UI for live outputs.",server + bridge-excel-generator
API,Workbook previews (multi-sheet),Yes: `POST /api/design/workbook-previews`,Unknown,Kept,"Excel-like viewer capability.",server/workbook-sheets-preview + client
API,Workbook sheet preview (single),Yes: `POST /api/design/workbook-sheet-preview`,Unknown,Kept,"Excel-like viewer capability.",server/workbook-sheets-preview + client
API,SVG drawings (GAD/pier/abutment/slab),"Yes: `/api/design/drawings/svg/*`",Unknown,Kept,"Downloadable SVG drawing outputs.",server/svg-diagrams
API,DXF export,Yes: `POST /api/design/dxf`,Unknown,Kept,"DXF drawing export.",server/dxf-export
API,PDF report,Yes: `POST /api/design/pdf`,Unknown,Kept,"PDF export.",server/pdf-export
API,Comprehensive PDF (46 sheets),Yes: `POST /api/design/pdf/comprehensive`,Unknown,Kept,"High-value export.",server/comprehensive-pdf-export
API,HTML report export,Yes: `POST /api/design/report/html`,Unknown,Kept,"Shareable HTML output.",server/design-report
API,Report model endpoint,Yes: `POST /api/design/report-model`,Unknown,Kept,"Supports formula/value inspection.",bridge-excel-generator/report-model
API,Upload Excel -> extract inputs,Yes: `POST /api/design/upload-excel`,Unknown,Kept,"Round-trip workflow.",server/excel-parser
